0	0	0	0	56	5
0	0	0	1	55	5
0	0	0	2	60	6
0	0	0	3	55	6
0	0	0	4	57	7
0	0	0	5	56	6
0	0	0	6	56	7
0	0	0	7	53	5
0	0	0	8	60	7
0	0	0	9	53	5
0	0	0	10	58	5
0	0	0	11	56	5
0	0	0	12	57	5
0	0	0	13	58	7
0	0	0	14	56	7
0	0	0	15	53	5
0	0	0	16	58	6
0	0	0	17	57	6
0	0	0	18	57	5
0	0	0	19	54	5
0	0	0	20	55	5
0	0	0	21	56	6
0	0	0	22	56	6
0	0	0	23	55	7
0	0	0	24	59	6
0	0	0	25	57	7
0	0	0	26	59	5
0	0	0	27	55	5
0	0	0	28	58	7
0	0	0	29	58	5
0	0	0	30	58	7
0	0	0	31	58	7
0	0	0	32	52	6
0	0	0	33	57	7
0	0	0	34	55	7
0	0	0	35	58	5
0	0	0	36	59	7
0	0	0	37	57	5
0	0	0	38	59	7
0	0	0	39	59	5
0	0	0	40	59	7
0	0	0	41	56	6
0	0	0	42	58	7
0	0	0	43	53	6
0	0	0	44	58	5
0	0	0	45	55	5
0	0	0	46	56	5
0	0	0	47	56	5
0	0	0	48	59	7
0	0	0	49	58	5
0	0	0	50	56	7
0	0	0	51	57	6
0	0	0	52	57	6
0	0	0	53	61	6
0	0	0	54	57	5
0	0	0	55	55	6
0	0	0	56	53	7
0	0	0	57	56	5
0	0	0	58	57	5
0	0	0	59	55	6
0	0	0	60	55	7
0	0	0	61	60	5
0	0	0	62	55	5
0	0	0	63	56	7
